
Group,Class,Sub-Class,Description,
,,106205,Manufacture of tapioca and tapioca substitutes prepared from starch,
,,106206,Manufacture of corn oil,
,,106299,Manufacture of other starch products n.e.c.,
107,,,Manufacture of other food products,
,1071,,Manufacture of bakery products,
,,,"This class includes the manufacture of fresh, frozen or dry bakery products. 

This class excludes:
-	manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits or pancakes, see 1061
-	manufacture of farinaceous products (pastas), see 1074
-	manufacture of potato snacks, see 1030
-	heating up of bakery items for immediate consumption, see division 56",
,,107101,"Manufacture of bread including burger bun Kulcha, Pao, roti and similar products",
,,107102,"Manufacture of pastry, cakes, pies, tarts, rolls and similar products",
,,107103,"Manufacture of rusks, biscuits, cookies and other ""dry"" bakery products",
,,107199,Manufacture of other bakery products n.e.c.,
,1072,,Manufacture of sugar,
,,,"This class excludes:
-	manufacture of lactose and lactose syrup, see 1050
-	manufacture of glucose, glucose syrup, maltose, see 1062
-	gathering of maple syrup in the wild, see 0230",
,,107201,Manufacture or refining of sugar (sucrose) from sugarcane,
,,107202,Manufacture of `gur’ from sugarcane,
,,107203,Manufacture of `gur’ from other than sugarcane,
,,107204,Manufacture of `khandsari’ sugar from sugarcane,
,,107205,Manufacture of `boora’ and candy from sugarcane,
,,107206,Manufacture of `boora’ and candy from other than sugarcane,
,,107299,Manufacture of sugar from other sources n.e.c.,
,1073,,"Manufacture of cocoa, chocolate and sugar confectionery",
,,,"This class excludes:
-	manufacture of sucrose sugar, see 1072",
,,107301,Manufacture of cocoa products,
,,107302,Manufacture of chocolate and chocolate confectionery,
,,107303,Manufacture of sugar confectionery (except sweetmeats),
,,107304,Manufacture of sweetmeats including dairy based sweetmeats,
,,107305,"Preserving of fruit, nuts, fruit peels and other parts of plants in sugar",
,,107399,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c.",
,1074,,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",
,,,"This class excludes:
-	manufacture of prepared meals and dishes based on pasta and of couscous dishes, see 1075
-	manufacture of soup containing pasta, see 1079",
,,107400,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",
,1075,,Manufacture of prepared meals and dishes,
,,,"This class includes the manufacture of ready-made (i.e. prepared, seasoned and cooked) meals and dishes. These dishes are processed and conserved, such as in frozen or canned form, and are usually packaged and labelled for re-sale, i.e. this class does not include the preparation of meals for immediate consumption, such as in restaurants and caterers. To be considered a dish, these foods have to contain at least two distinct main ingredients (except seasonings etc.). 

This class excludes:
-	manufacture of fresh foods or foods with less than two ingredients, see corresponding class in division 10
-	manufacture of perishable prepared foods consisting of fruit and vegetables only, see 1030
-	manufacture of soups, broths, and other foods, see 1079
-	retail sale of prepared meals and dishes, see 4711, 4721
-	wholesale of prepared meals and dishes, see 4630
-	activities of food service contractors, see 5640",
,,107501,"Manufacture of readymade (i.e. prepared, seasoned and cooked) meat or poultry dishes",
,,107502,"Manufacture of readymade (i.e. prepared, seasoned and cooked) fish & other marine dishes",
,,107503,"Manufacture of readymade (i.e. prepared, seasoned and cooked) vegetarian dishes",
,,107599,Manufacture of other prepared meals and dishes n.e.c. ,
,1076,,Processing of coffee and tea,
,,,"This class includes:
- manufacture of tea and coffee filled in bags
- manufacture of instant tea and coffee mixes",
,,107601,Processing and blending of tea including manufacture of instant tea and its substitutes,
,,107602,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products and its substitutes",
,1079,,Manufacture of other food products n.e.c.,
,,,"This class excludes:
-	growing of spice crops, see 0128
-	manufacture of inulin, see 1062
-	manufacture of perishable prepared foods of fruit and vegetables (e.g. salads, peeled vegetables, bean curd), see 1030
-	manufacture of frozen pizza, see 1075
-manufacture of coffee, tea and mate products, see 1076
-	manufacture of spirits, beer, wine and soft drinks, see division 11
-	preparation of botanical products for pharmaceutical use, see 2100",
,,107901,"Manufacture of infant formulae, special foods for infants such as follow-up milk and other follow-up foods",
,,107902,"Manufacture of other special food such as foods containing homogenized ingredients, low-energy/energy-reduced foods, foods for medical purposes",
,,107903,"Manufacture of papads, appalam and similar food products",
,,107904,Processing of salt into food-grade salt,
,,107905,Manufacture of soups and broths (powder),
,,107906,Grinding and processing of spices,
,,107907,Manufacture of condiments including mayonnaise and similar products not derived from vegetable or fruits,
,,107908,"Manufacture of perishable prepared foods, such as sandwiches and fresh (uncooked) pizza",
,,107909,Manufacture of plant based milk (eg. soya milk) and cheese substitues (eg. Tofu),
,,107910,Manufacture of honey products like royal jelly and similar products,
,,107999,Manufacture of other food products n.e.c.,
,1080,,Manufacture of prepared animal feeds,
,,,"This class excludes:
-	production of fishmeal for animal feed, see 1020
-	production of oilseed cake, see 1040
-	activities resulting in by-products usable as animal feed without special treatment, e.g. oilseeds (see 1040), grain milling residues (see 1061) etc.",
,,108001,Manufacture of cattle feed,
,,108002,Manufacture of poultry feed,
,,108003,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc.",
,,108099,Manufacture of other animal feeds n.e.c.,
,DIVISION 11: Manufacture of beverages,,,
110,,,Manufacture of beverages,
,1101,,"Distilling, rectifying and blending of spirits",
,,,"This class includes:
- manufacture of distilled, potable, alcoholic beverages: whisky, brandy, gin, liqueurs etc.
- manufacture of drinks mixed with distilled alcoholic beverages
- blending of distilled spirits
- production of neutral spirits

This class excludes:
-	manufacture of non-distilled alcoholic beverages, see 1102-1103
-	manufacture of synthetic ethyl alcohol, see 2011
-	manufacture of ethyl alcohol from fermented materials, see 2011
-	merely bottling and labelling, see 4630 (if performed as part of wholesale) and 8292 (if performed on a fee or contract basis)",
,,110101,Manufacture of whisky,
,,110102,Manufacture of brandy,
,,110103,Manufacture of rum,
,,110104,Manufacture of vodka,
,,110105,Manufacture of gin,
,,110106,Manufacture of country liquor,
,,110107,Blending of distilled spirits,
,,110199,"Distilling, rectifying and blending of spirits, n.e.c.",
,1102,,Manufacture of wines,
,,,"This class excludes:
—manufacture of vinegar, see 1079
—merely bottling and labeling, see 4630 (if performed as part of wholesale) and 8292 (if performed on a fee or contract basis)",
,,110201,Manufacture of still wine,
,,110202,Manufacture of sparkling wine,
,,110203,Manufacture of low-alcoholic and non-alcoholic wine,
,,110299,"Manufacture of other types of wine, n.e.c",
,1103,,Manufacture of beer,
,,110301,Manufacture of lager beer,
,,110302,Manufacture of ale,
,,110303,Manufacture of non-alcoholic or low alcholic beer,
,,110399,Manufacture of other types of beer n.e.c.,
,1104,,Manufacture of malt,
,,,"This class excludes:
-	malt liquors, see 1103
-	malt extracts and syrups, see 1079",
,,110400,Manufacture of malt,
,1105,,Manufacture of soft drinks; production of mineral waters and other bottled waters,
,,,"This class includes manufacture of non-alcoholic beverages (except non-alcoholic beer and wine)

This class excludes:
-	production of fruit and vegetable juice, see 1030
-	manufacture of milk-based drinks, see 1050
-	manufacture of coffee, tea and maté products, see 1076
-	manufacture of alcohol-based drinks, see 1101 - 1103
-	manufacture of non-alcoholic wine, see 1102
-	manufacture of non-alcoholic beer, see 1103
-	manufacture of ice for food consumption, see 3530
-	merely bottling and labelling, see 4630 (if performed as part of wholesale) and 8292 (if performed on a fee or contract basis)",
,,110501,"Manufacture of aerated waters such as tonic water, soda",
,,110502,Manufacture of flavoured and/or sweetened aerated drinks,
,,110503,"Production of natural mineral water (including alkaline water, black water) and packaged drinking water",
,,110504,Manufacture of beverages produced with fruit nectars,
,,110505,Manufacture of flavoured and/or sweetened non-aerated drinks,
,,110506,"Manufacture of traditional fermented probiotic beverages (kombucha, kanji, etc.)",
,,110599,"Manufacture of other non-alcoholic beverages, n.e.c.",
,DIVISION 12: Manufacture of tobacco products,,,
120,,,Manufacture of tobacco products,
,1200,,Manufacture of tobacco products,
,,,"This class excludes:
-	growing or preliminary processing of tobacco, see 0115, 0163 and 0164
-	manufacture of electronic cigarette vapor liquids, including closed refills, see 2029
-	manufacture of electronic cigarettes, see 3290",
,,120001,Stemming and redrying of tobacco,
,,120002,Binding of Bidi,
,,120003,Support activities for manufacturing of bidi,
,,120004,"Manufacture of cigarettes, cigarette tobacco",
,,120005,Manufacture of cigars and cheroots,
,,120006,Manufacture of zarda,
,,120099,Manufacture of other tobacco products including chewing tobacco n.e.c.,
,DIVISION 13: Manufacture of textiles,,,
131,,,"Spinning, weaving and finishing of textiles",
,1311,,Preparation and spinning of textile fibres,
,,,"This class includes preparatory operations on textile fibres and the spinning of textile fibres. This can be done from varying raw materials, whether new or recycled textile materials, such as silk, cotton, wool, vegetable or man-made fibres, paper cellulose-based fibers (wood, straw)

This class excludes:
-        preparatory operations carried out in combination with agriculture, see division 01
-        retting of plants bearing vegetable textile fibres (jute, flax, coir etc.) if they are not associated with the growing of vegetable textile fibres, see 0163
-        cotton ginning, see 0163
-        manufacture of synthetic or artificial fibres and tows, manufacture of synthetic or artificial filament yarns (including high-tenacity yarn), see 2030
-        manufacture of glass fibres, see 2310
-        processing of textile waste into secondary raw materials, see 3830",
